location_id,health_record_id,animal_id,disease,latitude,longitude,gps_accuracy_m,village,taluka,district,state,reported_date,risk_level,cases_nearby_14d
LOC0001,HR0003,DS003,Foot_Mouth_Disease,19.43296,74.60464,25,Rahuri,Rahuri,Ahmednagar,Maharashtra,2026-08-26,High,2
LOC0002,HR0004,DS004,Mastitis,18.04747,74.40106,35,Phaltan,Phaltan,Satara,Maharashtra,2026-09-09,Medium,1
LOC0003,HR0005,DS005,Lumpy_Skin_Disease,17.27412,74.23706,35,Karad,Karad,Satara,Maharashtra,2026-07-24,High,2
LOC0004,HR0007,DS006,Foot_Mouth_Disease,20.07269,74.05844,25,Niphad,Niphad,Nashik,Maharashtra,2026-07-13,High,2
LOC0005,HR0009,DS007,Foot_Mouth_Disease,19.5678,74.18421,25,Sangamner,Sangamner,Ahmednagar,Maharashtra,2026-09-07,High,1
LOC0006,HR0010,DS008,Mastitis,17.97027,74.47836,35,Phaltan,Phaltan,Satara,Maharashtra,2026-07-17,Medium,1
LOC0007,HR0012,DS009,Ringworm,17.30496,74.21254,15,Karad,Karad,Satara,Maharashtra,2026-06-15,High,1
LOC0008,HR0013,DS010,Lumpy_Skin_Disease,16.76972,74.55856,20,Shirol,Shirol,Kolhapur,Maharashtra,2026-08-29,High,1
LOC0009,HR0016,DS012,Mastitis,19.22845,73.8352,15,Junnar,Junnar,Pune,Maharashtra,2026-07-01,Medium,4
LOC0010,HR0017,DS013,Lumpy_Skin_Disease,17.34333,74.20212,25,Karad,Karad,Satara,Maharashtra,2026-08-11,High,1
LOC0011,HR0019,DS014,Mastitis,17.25676,74.23522,35,Karad,Karad,Satara,Maharashtra,2026-07-07,High,1
LOC0012,HR0021,DS015,Foot_Mouth_Disease,20.04816,74.10996,15,Niphad,Niphad,Nashik,Maharashtra,2026-08-09,High,2
LOC0013,HR0023,DS016,Lumpy_Skin_Disease,17.94948,74.43099,15,Phaltan,Phaltan,Satara,Maharashtra,2026-08-03,High,2
LOC0014,HR0025,DS017,Mastitis,17.24639,74.22949,15,Karad,Karad,Satara,Maharashtra,2026-07-30,Low,2
LOC0015,HR0027,DS018,Mastitis,18.10362,74.52802,20,Baramati,Baramati,Pune,Maharashtra,2026-07-16,Low,3
LOC0016,HR0028,DS019,Lumpy_Skin_Disease,16.80842,74.69034,20,Miraj,Miraj,Sangli,Maharashtra,2026-06-22,High,1
LOC0017,HR0029,DS020,Ringworm,19.78888,74.01213,12,Sinnar,Sinnar,Nashik,Maharashtra,2026-05-07,Medium,1
LOC0018,HR0030,DS021,Ringworm,21.03202,78.95918,35,Hingna,Hingna,Nagpur,Maharashtra,2026-08-25,Medium,1
LOC0019,HR0032,DS022,Lumpy_Skin_Disease,18.20293,74.57437,50,Baramati,Baramati,Pune,Maharashtra,2026-06-01,High,1
LOC0020,HR0034,DS024,Mastitis,19.2678,73.90515,8,Junnar,Junnar,Pune,Maharashtra,2026-07-15,Medium,4
LOC0021,HR0036,DS025,Ringworm,21.06573,79.03318,20,Hingna,Hingna,Nagpur,Maharashtra,2026-06-18,Medium,1
LOC0022,HR0037,DS026,Lumpy_Skin_Disease,17.28116,74.13428,50,Karad,Karad,Satara,Maharashtra,2026-07-02,High,1
LOC0023,HR0039,DS028,Lumpy_Skin_Disease,16.78577,74.62716,20,Shirol,Shirol,Kolhapur,Maharashtra,2026-05-05,High,1
LOC0024,HR0041,DS030,Lumpy_Skin_Disease,16.55382,74.26614,50,Kagal,Kagal,Kolhapur,Maharashtra,2026-08-10,High,4
LOC0025,HR0043,DS031,Lumpy_Skin_Disease,16.71607,74.55771,35,Shirol,Shirol,Kolhapur,Maharashtra,2026-09-16,High,3
LOC0026,HR0044,DS032,Foot_Mouth_Disease,19.56369,74.25511,50,Sangamner,Sangamner,Ahmednagar,Maharashtra,2026-08-03,High,3
LOC0027,HR0046,DS033,Mastitis,16.60184,74.34916,20,Kagal,Kagal,Kolhapur,Maharashtra,2026-07-18,Medium,2
LOC0028,HR0047,DS034,Mastitis,18.82913,74.40215,8,Shirur,Shirur,Pune,Maharashtra,2026-08-15,Medium,3
LOC0029,HR0050,DS036,Ringworm,21.17439,79.24273,8,Kamptee,Kamptee,Nagpur,Maharashtra,2026-05-20,Medium,1
LOC0030,HR0051,DS037,Foot_Mouth_Disease,20.12185,74.08668,25,Niphad,Niphad,Nashik,Maharashtra,2026-08-11,High,2
LOC0031,HR0054,DS039,Foot_Mouth_Disease,20.13592,74.14549,12,Niphad,Niphad,Nashik,Maharashtra,2026-09-14,High,1
LOC0032,HR0055,DS040,Lumpy_Skin_Disease,17.33921,74.21368,50,Karad,Karad,Satara,Maharashtra,2026-06-03,High,1
LOC0033,HR0059,DS043,Mastitis,18.8683,74.37176,20,Shirur,Shirur,Pune,Maharashtra,2026-05-02,Medium,2
LOC0034,HR0062,DS046,Lumpy_Skin_Disease,16.69799,74.58411,12,Shirol,Shirol,Kolhapur,Maharashtra,2026-06-23,High,2
LOC0035,HR0064,DS047,Lumpy_Skin_Disease,16.61595,74.26432,50,Kagal,Kagal,Kolhapur,Maharashtra,2026-07-22,High,4
LOC0036,HR0066,DS048,Foot_Mouth_Disease,19.36529,74.62156,12,Rahuri,Rahuri,Ahmednagar,Maharashtra,2026-07-23,Medium,1
LOC0037,HR0071,DS052,Ringworm,16.57678,74.36527,15,Kagal,Kagal,Kolhapur,Maharashtra,2026-05-21,Medium,3
LOC0038,HR0072,DS053,Lumpy_Skin_Disease,16.73136,74.54338,25,Shirol,Shirol,Kolhapur,Maharashtra,2026-07-22,High,2
LOC0039,HR0073,DS054,Lumpy_Skin_Disease,16.741,74.6028,20,Shirol,Shirol,Kolhapur,Maharashtra,2026-09-20,High,3
LOC0040,HR0076,DS057,Ringworm,18.82369,74.32494,15,Shirur,Shirur,Pune,Maharashtra,2026-09-20,Medium,1
LOC0041,HR0077,DS058,Lumpy_Skin_Disease,16.78654,74.6143,25,Miraj,Miraj,Sangli,Maharashtra,2026-09-04,High,4
LOC0042,HR0080,DS061,Lumpy_Skin_Disease,16.76323,74.62736,25,Shirol,Shirol,Kolhapur,Maharashtra,2026-08-08,High,2
LOC0043,HR0084,DS064,Lumpy_Skin_Disease,16.5502,74.31481,50,Kagal,Kagal,Kolhapur,Maharashtra,2026-08-28,High,4
LOC0044,HR0090,DS069,Ringworm,19.15334,73.82386,50,Junnar,Junnar,Pune,Maharashtra,2026-07-12,Medium,1
LOC0045,HR0092,DS070,Lumpy_Skin_Disease,18.19919,74.52691,20,Baramati,Baramati,Pune,Maharashtra,2026-09-16,High,1
LOC0046,HR0093,DS071,Foot_Mouth_Disease,19.35545,74.65948,20,Rahuri,Rahuri,Ahmednagar,Maharashtra,2026-08-10,Medium,1
LOC0047,HR0094,DS072,Lumpy_Skin_Disease,16.58905,74.28662,12,Kagal,Kagal,Kolhapur,Maharashtra,2026-06-11,High,4
LOC0048,HR0098,DS075,Mastitis,18.12731,74.55525,20,Baramati,Baramati,Pune,Maharashtra,2026-07-23,Medium,3
LOC0049,HR0100,DS076,Mastitis,16.52631,74.25984,20,Kagal,Kagal,Kolhapur,Maharashtra,2026-08-25,Medium,1
LOC0050,HR0104,DS079,Mastitis,17.3272,74.21079,20,Karad,Karad,Satara,Maharashtra,2026-05-31,Medium,1
LOC0051,HR0105,DS080,Lumpy_Skin_Disease,16.79949,74.65935,35,Shirol,Shirol,Kolhapur,Maharashtra,2026-06-27,High,2
LOC0052,HR0109,DS083,Mastitis,19.23965,73.85043,15,Junnar,Junnar,Pune,Maharashtra,2026-09-11,Medium,2
LOC0053,HR0111,DS085,Ringworm,18.0021,74.45529,20,Phaltan,Phaltan,Satara,Maharashtra,2026-06-02,Medium,1
LOC0054,HR0113,DS086,Lumpy_Skin_Disease,17.34689,74.14379,25,Karad,Karad,Satara,Maharashtra,2026-08-31,High,3
LOC0055,HR0117,DS089,Lumpy_Skin_Disease,16.83926,74.63097,15,Miraj,Miraj,Sangli,Maharashtra,2026-08-05,High,1
LOC0056,HR0121,DS093,Lumpy_Skin_Disease,16.60368,74.29553,20,Kagal,Kagal,Kolhapur,Maharashtra,2026-08-20,High,5
LOC0057,HR0122,DS094,Foot_Mouth_Disease,19.80629,74.052,20,Sinnar,Sinnar,Nashik,Maharashtra,2026-08-21,High,3
LOC0058,HR0126,DS098,Mastitis,18.85538,74.36318,15,Shirur,Shirur,Pune,Maharashtra,2026-08-22,High,3
LOC0059,HR0129,DS101,Ringworm,16.7504,74.57923,12,Shirol,Shirol,Kolhapur,Maharashtra,2026-07-22,Medium,2
LOC0060,HR0131,DS102,Lumpy_Skin_Disease,16.84491,74.60084,25,Miraj,Miraj,Sangli,Maharashtra,2026-07-17,High,3
LOC0061,HR0134,DS104,Lumpy_Skin_Disease,17.98497,74.45222,20,Phaltan,Phaltan,Satara,Maharashtra,2026-07-22,High,3
LOC0062,HR0136,DS105,Mastitis,21.05976,78.93686,12,Hingna,Hingna,Nagpur,Maharashtra,2026-08-15,Low,1
LOC0063,HR0139,DS107,Foot_Mouth_Disease,20.03786,74.13422,25,Niphad,Niphad,Nashik,Maharashtra,2026-07-20,High,2
LOC0064,HR0141,DS108,Mastitis,19.23265,73.86109,50,Junnar,Junnar,Pune,Maharashtra,2026-08-27,Medium,2
LOC0065,HR0144,DS110,Foot_Mouth_Disease,17.62815,75.30454,20,Pandharpur,Pandharpur,Solapur,Maharashtra,2026-07-10,Medium,1
LOC0066,HR0146,DS111,Lumpy_Skin_Disease,16.71234,74.56649,15,Shirol,Shirol,Kolhapur,Maharashtra,2026-05-22,High,2
LOC0067,HR0149,DS114,Foot_Mouth_Disease,19.38797,74.68983,25,Rahuri,Rahuri,Ahmednagar,Maharashtra,2026-09-10,High,3
LOC0068,HR0150,DS115,Mastitis,18.84889,74.33074,50,Shirur,Shirur,Pune,Maharashtra,2026-05-11,Medium,2
LOC0069,HR0152,DS117,Mastitis,18.1306,74.60699,20,Baramati,Baramati,Pune,Maharashtra,2026-08-20,Low,2
LOC0070,HR0153,DS118,Mastitis,18.80571,74.37813,35,Shirur,Shirur,Pune,Maharashtra,2026-08-17,Low,3
LOC0071,HR0154,DS119,Lumpy_Skin_Disease,18.0501,74.38837,35,Phaltan,Phaltan,Satara,Maharashtra,2026-08-24,High,3
LOC0072,HR0155,DS120,Lumpy_Skin_Disease,16.7962,74.5986,12,Miraj,Miraj,Sangli,Maharashtra,2026-07-17,Medium,3
LOC0073,HR0157,DS121,Mastitis,18.16121,74.56511,50,Baramati,Baramati,Pune,Maharashtra,2026-08-19,High,2
LOC0074,HR0158,DS122,Mastitis,17.99312,74.41069,15,Phaltan,Phaltan,Satara,Maharashtra,2026-06-26,Medium,2
