treatment_id,animal_id,health_record_id,disease,diagnosis_date,treatment_start_date,medicine,medicine_type,dose,duration_days,veterinarian,isolation_advised,outcome,followup_date,cost_inr
TR0001,DS001,HR0001,Healthy,2026-08-13,2026-08-13,Deworming (routine),Preventive,As prescribed by veterinarian,1,Dr. S. Joshi,No,Recovered,2026-08-18,850
TR0002,DS003,HR0003,Foot_Mouth_Disease,2026-08-26,2026-08-27,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. M. Sawant,Yes,Under treatment,2026-09-07,1500
TR0003,DS003,HR0003,Foot_Mouth_Disease,2026-08-26,2026-08-27,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. M. Sawant,Yes,Under treatment,2026-09-02,450
TR0004,DS004,HR0004,Mastitis,2026-09-09,2026-09-09,Cloxacillin intramammary infusion,Antibiotic,As prescribed by veterinarian,5,Dr. P. Naik,No,Recovered,2026-09-16,250
TR0005,DS004,HR0004,Mastitis,2026-09-09,2026-09-09,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. P. Naik,No,Recovered,2026-09-18,1500
TR0006,DS004,HR0004,Mastitis,2026-09-09,2026-09-09,Teat dip and udder hygiene,Management,As prescribed by veterinarian,14,Dr. P. Naik,No,Recovered,2026-09-29,1950
TR0007,DS005,HR0005,Lumpy_Skin_Disease,2026-07-24,2026-07-24,Oxytetracycline (secondary infection),Antibiotic,As prescribed by veterinarian,5,Dr. P. Naik,Yes,Recovered,2026-08-01,3550
TR0008,DS005,HR0005,Lumpy_Skin_Disease,2026-07-24,2026-07-25,Meloxicam,Anti-inflammatory,As prescribed by veterinarian,3,Dr. P. Naik,Yes,Recovered,2026-08-01,1700
TR0009,DS005,HR0005,Lumpy_Skin_Disease,2026-07-24,2026-07-24,Antiseptic wound spray,Topical,As prescribed by veterinarian,10,Dr. P. Naik,Yes,Recovered,2026-08-09,2800
TR0010,DS006,HR0007,Foot_Mouth_Disease,2026-07-13,2026-07-13,Potassium permanganate mouth and foot wash,Antiseptic,As prescribed by veterinarian,7,Dr. A. Kulkarni,Yes,Recovered,2026-07-22,800
