vaccination_id,animal_id,vaccine,disease_covered,date_given,next_due_date,batch_number,administered_by,status,schedule
VC0001,DS001,FMD,Foot-and-Mouth Disease,2026-05-09,2026-11-07,FMD-2587,Dr. R. Deshpande,Completed,Every 6 months
VC0002,DS001,HS,Haemorrhagic Septicaemia,2026-05-06,2027-05-06,HS-2545,Dr. R. Deshpande,Completed,Every 12 months
VC0003,DS001,BQ,Black Quarter,2025-12-23,2026-12-23,BQ-2582,Dr. A. Kulkarni,Completed,Every 12 months
VC0004,DS001,LSD,Lumpy Skin Disease,2026-07-28,2027-07-28,LSD-2572,Dr. M. Sawant,Completed,Every 12 months
VC0005,DS002,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0006,DS002,HS,Haemorrhagic Septicaemia,,,,,Due,
VC0007,DS002,BQ,Black Quarter,2025-12-17,2026-12-17,BQ-2534,Dr. P. Naik,Completed,Every 12 months
VC0008,DS002,LSD,Lumpy Skin Disease,2026-01-09,2027-01-09,LSD-2566,Dr. M. Sawant,Completed,Every 12 months
VC0009,DS003,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0010,DS003,HS,Haemorrhagic Septicaemia,2026-01-04,2027-01-04,HS-2547,Dr. S. Joshi,Completed,Every 12 months
VC0011,DS003,BQ,Black Quarter,2026-01-06,2027-01-06,BQ-2560,Dr. M. Sawant,Completed,Every 12 months
VC0012,DS003,LSD,Lumpy Skin Disease,2025-12-31,2026-12-31,LSD-2604,Dr. P. Naik,Completed,Every 12 months
VC0013,DS004,FMD,Foot-and-Mouth Disease,2026-06-12,2026-12-11,FMD-2520,Dr. A. Kulkarni,Completed,Every 6 months
VC0014,DS004,HS,Haemorrhagic Septicaemia,2025-11-17,2026-11-17,HS-2574,Dr. P. Naik,Completed,Every 12 months
VC0015,DS004,BQ,Black Quarter,2026-07-04,2027-07-04,BQ-2570,Dr. S. Joshi,Completed,Every 12 months
VC0016,DS004,LSD,Lumpy Skin Disease,2026-07-06,2027-07-06,LSD-2577,Dr. V. Thorat,Completed,Every 12 months
VC0017,DS005,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0018,DS005,HS,Haemorrhagic Septicaemia,2025-12-07,2026-12-07,HS-2608,Dr. A. Kulkarni,Completed,Every 12 months
VC0019,DS005,BQ,Black Quarter,2025-10-18,2026-10-18,BQ-2525,Dr. P. Naik,Scheduled,Every 12 months
VC0020,DS005,LSD,Lumpy Skin Disease,,,,,Due,
VC0021,DS006,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0022,DS006,HS,Haemorrhagic Septicaemia,2026-05-24,2027-05-24,HS-2515,Dr. M. Sawant,Completed,Every 12 months
VC0023,DS006,BQ,Black Quarter,2025-12-01,2026-12-01,BQ-2597,Dr. M. Sawant,Completed,Every 12 months
VC0024,DS006,Brucellosis,Brucellosis,2025-11-24,,Brucellosis-2538,Dr. M. Sawant,Completed,One-time (calfhood)
VC0025,DS006,LSD,Lumpy Skin Disease,2025-12-01,2026-12-01,LSD-2517,Dr. A. Kulkarni,Completed,Every 12 months
VC0026,DS007,FMD,Foot-and-Mouth Disease,2026-05-16,2026-11-14,FMD-2555,Dr. V. Thorat,Completed,Every 6 months
VC0027,DS007,HS,Haemorrhagic Septicaemia,,,,,Due,
VC0028,DS007,BQ,Black Quarter,2025-12-29,2026-12-29,BQ-2588,Dr. R. Deshpande,Completed,Every 12 months
VC0029,DS007,LSD,Lumpy Skin Disease,2026-03-13,2027-03-13,LSD-2508,Dr. V. Thorat,Completed,Every 12 months
VC0030,DS008,FMD,Foot-and-Mouth Disease,2026-04-26,2026-10-25,FMD-2588,Dr. M. Sawant,Completed,Every 6 months
VC0031,DS008,HS,Haemorrhagic Septicaemia,2026-05-04,2027-05-04,HS-2601,Dr. S. Joshi,Completed,Every 12 months
VC0032,DS008,BQ,Black Quarter,2026-09-03,2027-09-03,BQ-2536,Dr. M. Sawant,Completed,Every 12 months
VC0033,DS008,LSD,Lumpy Skin Disease,2026-04-29,2027-04-29,LSD-2541,Dr. S. Joshi,Completed,Every 12 months
VC0034,DS009,FMD,Foot-and-Mouth Disease,,,,,Due,
VC0035,DS009,HS,Haemorrhagic Septicaemia,2026-01-19,2027-01-19,HS-2582,Dr. P. Naik,Completed,Every 12 months
VC0036,DS009,BQ,Black Quarter,2026-01-12,2027-01-12,BQ-2601,Dr. V. Thorat,Completed,Every 12 months
VC0037,DS009,LSD,Lumpy Skin Disease,2026-06-07,2027-06-07,LSD-2521,Dr. V. Thorat,Completed,Every 12 months
VC0038,DS010,FMD,Foot-and-Mouth Disease,2026-04-03,2026-10-02,FMD-2502,Dr. M. Sawant,Scheduled,Every 6 months
VC0039,DS010,HS,Haemorrhagic Septicaemia,2026-02-07,2027-02-07,HS-2546,Dr. M. Sawant,Completed,Every 12 months
VC0040,DS010,BQ,Black Quarter,2025-12-21,2026-12-21,BQ-2504,Dr. S. Joshi,Completed,Every 12 months
VC0041,DS010,LSD,Lumpy Skin Disease,,,,,Due,
VC0042,DS011,FMD,Foot-and-Mouth Disease,2026-06-06,2026-12-05,FMD-2534,Dr. M. Sawant,Completed,Every 6 months
VC0043,DS011,HS,Haemorrhagic Septicaemia,2026-07-13,2027-07-13,HS-2545,Dr. P. Naik,Completed,Every 12 months
VC0044,DS011,BQ,Black Quarter,,,,,Due,
VC0045,DS011,LSD,Lumpy Skin Disease,2025-12-20,2026-12-20,LSD-2532,Dr. R. Deshpande,Completed,Every 12 months
VC0046,DS012,FMD,Foot-and-Mouth Disease,2026-06-22,2026-12-21,FMD-2535,Dr. P. Naik,Completed,Every 6 months
VC0047,DS012,HS,Haemorrhagic Septicaemia,2025-12-06,2026-12-06,HS-2581,Dr. R. Deshpande,Completed,Every 12 months
VC0048,DS012,BQ,Black Quarter,2026-06-30,2027-06-30,BQ-2572,Dr. A. Kulkarni,Completed,Every 12 months
VC0049,DS012,LSD,Lumpy Skin Disease,2025-11-21,2026-11-21,LSD-2559,Dr. V. Thorat,Completed,Every 12 months
VC0050,DS013,FMD,Foot-and-Mouth Disease,2026-08-22,2027-02-20,FMD-2572,Dr. V. Thorat,Completed,Every 6 months
VC0051,DS013,HS,Haemorrhagic Septicaemia,2026-09-06,2027-09-06,HS-2513,Dr. S. Joshi,Completed,Every 12 months
VC0052,DS013,BQ,Black Quarter,2026-05-22,2027-05-22,BQ-2560,Dr. S. Joshi,Completed,Every 12 months
VC0053,DS013,Brucellosis,Brucellosis,2026-06-16,,Brucellosis-2591,Dr. R. Deshpande,Completed,One-time (calfhood)
VC0054,DS013,LSD,Lumpy Skin Disease,2026-02-10,2027-02-10,LSD-2592,Dr. M. Sawant,Completed,Every 12 months
VC0055,DS014,FMD,Foot-and-Mouth Disease,2026-06-27,2026-12-26,FMD-2562,Dr. M. Sawant,Completed,Every 6 months
VC0056,DS014,HS,Haemorrhagic Septicaemia,2025-12-25,2026-12-25,HS-2567,Dr. M. Sawant,Completed,Every 12 months
